Created MRAppMaster for application appattempt_1445144423722_0020_000001,Created MRAppMaster for application appattempt_<*>,Created MRAppMaster for application <*>
"Kind: YARN_AM_RM_TOKEN, Service:, Ident: (appAttemptId { application_id { id: 20 cluster_timestamp: 1445144423722 } attemptId: 1 } keyId: -127633188)","Kind: <*>, Service: Ident: (appAttemptId pointing pointing :<*> ) AttemptId:<*> AttemptId:<*> AttemptId:<*> AttemptId:<*> AttemptId:<*> AttemptId:<*> AttemptId:<*>","Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: <*> cluster_timestamp: <*> } attemptId: <*> } keyId: <*>)"
OutputCommitter set in config null,OutputCommitter set in config null,OutputCommitter set in config <*>
OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,OutputCommitter is org.apache.hadoop.mapreduce.<*> OutputCommitter,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter
Scheduled snapshot period at 10 second(s).,Scheduled snapshot period at <*> :<*>,Scheduled snapshot period at <*> second(s).
Input size for job job_1445144423722_0020 = 1256521728. Number of splits = 10,Input size for job <*> : <*> :<*> Number of splits =<*>,Input size for job <*> = <*>. Number of splits = <*>
job_1445144423722_0020Job Transitioned from NEW to INITED,<*>Job Transitioned from NEW to INITED,<*> Transitioned from NEW to INITED
Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server,Adding protocol org.apache.hadoop.mapreduce.<*> to the server,Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server
Logging to org.slf4j.impl.Log4jLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog,Logging to org.slf4j.impl.Log4jLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog,Logging to <*>(org.mortbay.log) via <*>
Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.AmIpFilter) to context mapreduce,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce
Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context static,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.AmIpFilter) to context static,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context static
jetty-6.1.26,<*>,jetty-<*>
Extract jar:file:/D:/hadoop-2.6.0-localbox/share/hadoop/yarn/hadoop-yarn-common-2.6.0-SNAPSHOT.jar!/webapps/mapreduce to C:\ Users\ msrabi\ AppData\ Local\ Temp\ Jetty_0_0_0_0_62267_mapreduce____.8n7xum\ webapp,Extract jar:file:/D:/<*> /<*> /<*> /<*> /<*> /<*> /<*> /<*> /<*> /<*> /<*> /<*> /<*> /<*> /<*> /<*> /<*> /<*> /<*> /<*> /<*> /<*> /<*> /<*> /<*> /<*> /<*> /<*> /<*> /<*> /<*> /<*> /<*> /<*> /<*> /<*> /<*> /<*> /<*>,Extract jar:file:<*> to <*>
Web app /mapreduce started at 62267,Web app /mapreduce started at <*>,Web app <*> started at <*>
"maxContainerCapability: < memory:8192, vCores:32>","maxContainerCapability: <*> memory:<*>, vCores:<*>","maxContainerCapability: <memory:<*>, vCores:<*>"
job_1445144423722_0020Job Transitioned from INITED to SETUP,<*>Job Transitioned from INITED to SETUP,<*> Transitioned from INITED to SETUP
job_1445144423722_0020Job Transitioned from SETUP to RUNNING,<*>Job Transitioned from SETUP to RUNNING,<*> Transitioned from SETUP to RUNNING
"mapResourceRequest:< memory:1024, vCores:1>","mapResourceRequest: stack memory:<*>, vCores:<*>","mapResourceRequest:<memory:<*>, vCores:<*>"
"Event Writer setup for JobId: job_1445144423722_0020, File: hdfs://msra-sa-41:9000/tmp/hadoop-yarn/staging/msrabi/.staging/job_1445144423722_0020/job_1445144423722_0020_1.jhist","Event Writer setup for JobId: <*>, File: <*> :<*> /<*> /<*> /<*> /<*> jhist","Event Writer setup for JobId: <*>, File: hdfs://<*>"
"reduceResourceRequest:< memory:1024, vCores:1>","reduceResourceRequest: <*> memory:<*>, vCores:<*>","reduceResourceRequest:<memory:<*>, vCores:<*>"
"getResources() for application_1445144423722_0020: ask=4 release= 0 newContainers=0 finishedContainers=0 resourcelimit=< memory:10240, vCores:-17> knownNMs=4","getResources() for <*> : ask=<*> release= <*> newContainers=<*> finishedContainers=<*> resourcelimit=<*> memory:<*>, vCores:<*> knownNMs=<*>","getResources() for <*>: ask=<*> release= <*> newContainers=<*> finishedContainers=<*> resourcelimit=<memory:<*>, vCores:<*> knownNMs=<*>"
"Recalculating schedule, headroom=< memory:10240, vCores:-17>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:10240, vCores:-17>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:8192, vCores:-19>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
The job-jar file on the remote FS is hdfs://msra-sa-41:9000/tmp/hadoop-yarn/staging/msrabi/.staging/job_1445144423722_0020/job.jar,The job-jar file on the remote FS is hdfs://<*> :<*> /<*> /<*> /<*> /<*>,The job-jar file on the remote FS is hdfs://<*>
The job-conf file on the remote FS is /tmp/hadoop-yarn/staging/msrabi/.staging/job_1445144423722_0020/job.xml,The job-conf file on the remote FS is /tmp/hadoop-yarn/staging/<*> /<*> /<*> /<*>,The job-conf file on the remote FS is <*>
Adding #0 tokens and #1 secret keys for NM use for launching container,Adding #<*> tokens and #1 secret keys for NM use for launching container,Adding #<*> tokens and #<*> secret keys for NM use for launching container
"getResources() for application_1445144423722_0020: ask=4 release= 0 newContainers=0 finishedContainers=0 resourcelimit=< memory:7168, vCores:-20> knownNMs=4","getResources() for <*> : ask=<*> release= <*> newContainers=<*> finishedContainers=<*> resourcelimit=<*> memory:<*>, vCores:<*> knownNMs=<*>","getResources() for <*>: ask=<*> release= <*> newContainers=<*> finishedContainers=<*> resourcelimit=<memory:<*>, vCores:<*> knownNMs=<*>"
"Recalculating schedule, headroom=< memory:7168, vCores:-20>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:5120, vCores:-22>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"getResources() for application_1445144423722_0020: ask=4 release= 0 newContainers=0 finishedContainers=0 resourcelimit=< memory:4096, vCores:-23> knownNMs=4","getResources() for <*> : ask=<*> release= <*> newContainers=<*> finishedContainers=<*> resourcelimit=<*> memory:<*>, vCores:<*> knownNMs=<*>","getResources() for <*>: ask=<*> release= <*> newContainers=<*> finishedContainers=<*> resourcelimit=<memory:<*>, vCores:<*> knownNMs=<*>"
"Recalculating schedule, headroom=< memory:4096, vCores:-23>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:3072, vCores:-24>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"getResources() for application_1445144423722_0020: ask=4 release= 0 newContainers=0 finishedContainers=0 resourcelimit=< memory:1024, vCores:-26> knownNMs=4","getResources() for <*> : ask=<*> release= <*> newContainers=<*> finishedContainers=<*> resourcelimit=<*> memory:<*>, vCores:<*> knownNMs=<*>","getResources() for <*>: ask=<*> release= <*> newContainers=<*> finishedContainers=<*> resourcelimit=<memory:<*>, vCores:<*> knownNMs=<*>"
"Recalculating schedule, headroom=< memory:1024, vCores:-26>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:1024, vCores:-26>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"getResources() for application_1445144423722_0020: ask=4 release= 0 newContainers=0 finishedContainers=0 resourcelimit=< memory:0, vCores:-27> knownNMs=4","getResources() for <*> : ask=<*> release= <*> newContainers=<*> finishedContainers=<*> resourcelimit=<*> memory:<*>, vCores:<*> knownNMs=<*>","getResources() for <*>: ask=<*> release= <*> newContainers=<*> finishedContainers=<*> resourcelimit=<memory:<*>, vCores:<*> knownNMs=<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
"Recalculating schedule, headroom=< memory:0, vCores:-27>","Recalculating schedule, headroom=<*> memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
